Quote,Author
"""A change in the weather is sufficient to recreate the world and ourselves.""",Marcel Proust
"""Wherever you go, no matter what the weather, always bring your own sunshine.""",Anthony J. D'Angelo
"""Sunshine is delicious, rain is refreshing, wind braces us up, snow is exhilarating; there is really no such thing as bad weather, only different kinds of good weather.""",John Ruskin
