Quote,Author
You can't get mad at weather because weather's not about you. Apply that lesson to most other aspects of life.,Douglas Coupland
"Climate is what we expect, weather is what we get.",Mark Twain
"If you want to see the sunshine, you have to weather the storm.",Frank Lane
